schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,account_invoice_items,account_invoice_items_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,account_invoice_items,account_invoice_items_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
public,account_invoice_items,account_invoice_items_select_policy,PERMISSIVE,{authenticated},SELECT,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,account_invoice_items,account_invoice_items_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,account_invoices,account_invoices_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,account_invoices,account_invoices_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,account_invoices,account_invoices_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,account_invoices,account_invoices_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,account_transfers,account_transfers_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,account_transfers,account_transfers_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,account_transfers,account_transfers_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,account_transfers,account_transfers_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,account_types,account_types_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,account_types,account_types_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,account_types,account_types_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,account_types,account_types_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,accounting_periods,accounting_periods_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,accounting_periods,accounting_periods_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,accounting_periods,accounting_periods_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,accounting_periods,accounting_periods_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,accounts,accounts_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,accounts,accounts_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id)))
public,accounts,accounts_select_policy,PERMISSIVE,{authenticated},SELECT,"(is_platform_admin() OR check_row_access(tenant_id, company_id))",null
public,accounts,accounts_update_policy,PERMISSIVE,{authenticated},UPDATE,(is_platform_admin() OR ((tenant_id = get_user_tenant_id()) AND can_access_company(company_id))),null
public,agent_bonuses,agent_bonuses_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_bonuses,agent_bonuses_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_bonuses,agent_bonuses_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_bonuses,agent_bonuses_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_commission_rules,agent_commission_rules_delete_policy,PERMISSIVE,{authenticated},DELETE,is_platform_admin(),null
public,agent_commission_rules,agent_commission_rules_insert_policy,PERMISSIVE,{authenticated},INSERT,null,is_platform_admin()
public,agent_commission_rules,agent_commission_rules_select_policy,PERMISSIVE,{authenticated},SELECT,true,null
public,agent_commission_rules,agent_commission_rules_update_policy,PERMISSIVE,{authenticated},UPDATE,is_platform_admin(),null
public,agent_commissions,agent_commissions_delete_policy,PERMISSIVE,{authenticated},DELETE,(is_platform_admin() OR (tenant_id = get_user_tenant_id())),null
public,agent_commissions,agent_commissions_insert_policy,PERMISSIVE,{authenticated},INSERT,null,(is_platform_admin() OR (tenant_id = get_user_tenant_id()))
